Gameweek,Date,Team,Position,PointsEarned
1,9/1/2024,Team Security,1,30
1,9/1/2024,Team Speed,2,25
1,9/1/2024,Team Substance,3,20
1,9/1/2024,Team Simplicity,4,15
2,9/8/2024,Team Speed,1,30
2,9/8/2024,Team Security,2,25
2,9/8/2024,Team Substance,3,20
2,9/8/2024,Team Simplicity,4,15
3,9/15/2024,Team Substance,1,30
3,9/15/2024,Team Security,2,25
3,9/15/2024,Team Speed,3,20
3,9/15/2024,Team Simplicity,4,15
4,9/22/2024,Team Simplicity,1,30
4,9/22/2024,Team Substance,2,25
4,9/22/2024,Team Security,3,20
4,9/22/2024,Team Speed,4,15
5,9/29/2024,Team Security,1,30
5,9/29/2024,Team Speed,2,25
5,9/29/2024,Team Substance,3,20
5,9/29/2024,Team Simplicity,4,15
6,10/6/2024,Team Speed,1,30
6,10/6/2024,Team Substance,2,25
6,10/6/2024,Team Security,3,20
6,10/6/2024,Team Simplicity,4,15
7,10/13/2024,Team Substance,1,30
7,10/13/2024,Team Security,2,25
7,10/13/2024,Team Simplicity,3,20
7,10/13/2024,Team Speed,4,15
8,10/20/2024,Team Security,1,30
8,10/20/2024,Team Simplicity,2,25
8,10/20/2024,Team Speed,3,20
8,10/20/2024,Team Substance,4,15
9,10/27/2024,Team Simplicity,1,30
9,10/27/2024,Team Speed,2,25
9,10/27/2024,Team Substance,3,20
9,10/27/2024,Team Security,4,15
10,11/3/2024,Team Security,1,30
10,11/3/2024,Team Substance,2,25
10,11/3/2024,Team Speed,3,20
10,11/3/2024,Team Simplicity,4,15
11,10/27/2024,Team Simplicity,1,30
11,10/27/2024,Team Speed,2,25
11,10/27/2024,Team Substance,3,20
11,10/27/2024,Team Security,4,15
12,10/27/2024,Team Simplicity,3,20
12,10/27/2024,Team Speed,4,15
12,10/27/2024,Team Substance,2,25
12,10/27/2024,Team Security,1,30
13,4/8/2024,Team Simplicity,1,50
13,4/8/2024,Team Speed,3,20
13,4/8/2024,Team Substance,4,10
13,4/8/2024,Team Security,2,40
